Gene1	Gene1Samples	Gene2	Gene2Samples	Common	P_value	Adjusted_p
ACSM5	10	LPPR4	16	2	1.49E-01	5.27E-01
ACSM5	10	LRFN5	25	1	1.00E+00	1.00E+00
ACSM5	10	LRP1B	87	6	1.87E-01	5.33E-01
ACSM5	10	LRRC7	36	1	1.00E+00	1.00E+00
ACSM5	10	MARCO	9	1	3.37E-01	5.63E-01
ACSM5	10	MNDA	11	1	3.96E-01	5.88E-01
ACSM5	10	MYBPC1	13	1	4.51E-01	6.16E-01
ACSM5	10	NAV3	56	1	4.58E-01	6.21E-01
ACSM5	10	NLRP14	19	2	1.98E-01	5.33E-01
ACSM5	10	NOS1	19	2	1.98E-01	5.33E-01
ACSM5	10	OR11G2	7	2	3.24E-02	5.27E-01
ACSM5	10	OR2G6	14	1	4.76E-01	6.36E-01
ACSM5	10	OR4C45	8	1	3.06E-01	5.52E-01
ACSM5	10	OR4N4	8	1	3.06E-01	5.52E-01
ACSM5	10	OR52K1	10	1	3.67E-01	5.78E-01
ACSM5	10	OR5J2	10	1	3.67E-01	5.78E-01
ACSM5	10	OR5M1	4	1	1.65E-01	5.27E-01
ACSM5	10	OR5M11	7	1	2.73E-01	5.43E-01
ACSM5	10	OR6B1	7	3	1.96E-03	4.80E-01
ACSM5	10	OR8H2	8	2	4.22E-02	5.27E-01
ACSM5	10	P2RX6	5	1	2.03E-01	5.33E-01
ACSM5	10	PEG3	21	1	1.00E+00	1.00E+00
ACSM5	10	PROL1	7	2	3.24E-02	5.27E-01
ACSM5	10	PTEN	13	1	4.51E-01	6.16E-01
ACSM5	10	PTF1A	9	2	5.30E-02	5.27E-01
ACSM5	10	RB1	135	7	5.33E-01	6.71E-01
ACSM5	10	RD3	3	1	1.26E-01	5.27E-01
ACSM5	10	RGS13	5	1	2.03E-01	5.33E-01
ACSM5	10	RHAG	12	1	4.24E-01	6.01E-01
ACSM5	10	SELP	15	1	5.01E-01	6.48E-01
ACSM5	10	SGCZ	13	2	1.04E-01	5.27E-01
ACSM5	10	SLC8A3	20	1	1.00E+00	1.00E+00
ACSM5	10	SPHKAP	39	6	2.17E-03	4.80E-01
ACSM5	10	SRMS	5	2	1.62E-02	5.27E-01
ACSM5	10	TCF23	4	1	1.65E-01	5.27E-01
ACSM5	10	TKTL2	21	3	5.32E-02	5.27E-01
ACSM5	10	TMEM132D	50	2	1.00E+00	1.00E+00
ACSM5	10	TP53	197	6	3.28E-02	5.27E-01
ACSM5	10	TPRA1	2	1	8.60E-02	5.27E-01
ACSM5	10	UBE2NL	8	1	3.06E-01	5.52E-01
ACSM5	10	UNC93A	8	2	4.22E-02	5.27E-01
ACSM5	10	WNT11	6	1	2.38E-01	5.33E-01
ACSM5	10	ZFP36L2	7	1	2.73E-01	5.43E-01
ACSM5	10	ZNF521	21	1	1.00E+00	1.00E+00
ACSM5	10	ZSCAN10	8	1	3.06E-01	5.52E-01
AGXT	5	ANKRD30B	28	2	1.15E-01	5.27E-01
AGXT	5	ATP1B4	7	1	1.46E-01	5.27E-01
AGXT	5	B2M	6	3	1.01E-04	2.63E-01
AGXT	5	CD1C	12	1	2.39E-01	5.33E-01
AGXT	5	CDH7	13	2	2.73E-02	5.27E-01
AGXT	5	CFHR2	9	1	1.84E-01	5.33E-01
AGXT	5	CNTNAP5	34	1	5.57E-01	6.87E-01
AGXT	5	CPXCR1	12	1	2.39E-01	5.33E-01
AGXT	5	DCAF8L2	13	1	2.56E-01	5.33E-01
AGXT	5	DEFB110	3	1	6.46E-02	5.27E-01
AGXT	5	DYNLRB2	2	1	4.35E-02	5.27E-01
AGXT	5	ETNK2	4	1	8.54E-02	5.27E-01
AGXT	5	FAM47C	19	2	5.67E-02	5.27E-01
AGXT	5	FCRL5	17	1	3.24E-01	5.63E-01
AGXT	5	GABRB1	12	1	2.39E-01	5.33E-01
AGXT	5	GAL3ST3	6	1	1.26E-01	5.27E-01
AGXT	5	GLB1L2	8	2	1.03E-02	5.16E-01
AGXT	5	GPR139	9	1	1.84E-01	5.33E-01
AGXT	5	KCNJ12	10	1	2.03E-01	5.33E-01
AGXT	5	KLHL34	9	1	1.84E-01	5.33E-01
AGXT	5	KRTAP10-11	7	1	1.46E-01	5.27E-01
AGXT	5	LCE5A	4	1	8.54E-02	5.27E-01
AGXT	5	LPPR4	16	1	3.07E-01	5.52E-01
AGXT	5	LRP1B	87	4	7.14E-02	5.27E-01
AGXT	5	LRRC7	36	1	5.80E-01	7.05E-01
AGXT	5	MARCO	9	1	1.84E-01	5.33E-01
AGXT	5	MORC1	24	1	4.30E-01	6.05E-01
AGXT	5	MRGPRX4	8	1	1.65E-01	5.27E-01
AGXT	5	MYBPC1	13	1	2.56E-01	5.33E-01
AGXT	5	NAV3	56	1	1.00E+00	1.00E+00
AGXT	5	NOS1	19	1	3.55E-01	5.71E-01
AGXT	5	NTNG2	8	1	1.65E-01	5.27E-01
AGXT	5	OR10J1	12	1	2.39E-01	5.33E-01
AGXT	5	OR10V1	5	1	1.06E-01	5.27E-01
AGXT	5	OR2G6	14	1	2.74E-01	5.43E-01
AGXT	5	OR2T2	8	1	1.65E-01	5.27E-01
AGXT	5	OR4K17	12	1	2.39E-01	5.33E-01
AGXT	5	OR4N4	8	1	1.65E-01	5.27E-01
AGXT	5	OR51B5	9	1	1.84E-01	5.33E-01
AGXT	5	OR5J2	10	1	2.03E-01	5.33E-01
AGXT	5	OR9Q2	8	2	1.03E-02	5.16E-01
AGXT	5	PGRMC1	5	1	1.06E-01	5.27E-01
AGXT	5	POU3F3	8	1	1.65E-01	5.27E-01
AGXT	5	RB1	135	5	8.12E-02	5.27E-01
AGXT	5	REG1B	13	1	2.56E-01	5.33E-01
AGXT	5	RHAG	12	1	2.39E-01	5.33E-01
AGXT	5	SAMD1	15	1	2.91E-01	5.52E-01
AGXT	5	SELP	15	1	2.91E-01	5.52E-01
AGXT	5	SH2D1A	4	1	8.54E-02	5.27E-01
AGXT	5	SIGLEC12	8	1	1.65E-01	5.27E-01
AGXT	5	SLC4A10	18	1	3.40E-01	5.63E-01
AGXT	5	SPHKAP	39	1	1.00E+00	1.00E+00
AGXT	5	TCF23	4	1	8.54E-02	5.27E-01
AGXT	5	TCP10L2	7	1	1.46E-01	5.27E-01
AGXT	5	TMEM132D	50	1	1.00E+00	1.00E+00
AGXT	5	TNNI2	3	1	6.46E-02	5.27E-01
AGXT	5	TP53	197	4	5.22E-01	6.62E-01
AGXT	5	TUBA3C	16	1	3.07E-01	5.52E-01
AGXT	5	UBE2NL	8	1	1.65E-01	5.27E-01
AGXT	5	UNC93A	8	2	1.03E-02	5.16E-01
AMBN	7	ARHGAP36	12	1	3.19E-01	5.58E-01
AMBN	7	ATP6V0A4	12	1	3.19E-01	5.58E-01
AMBN	7	B2M	6	1	1.72E-01	5.33E-01
AMBN	7	C6orf103	31	1	1.00E+00	1.00E+00
AMBN	7	CA2	8	1	2.24E-01	5.33E-01
AMBN	7	CDH7	13	1	3.41E-01	5.63E-01
AMBN	7	DCAF8L2	13	1	3.41E-01	5.63E-01
AMBN	7	DIO2	8	1	2.24E-01	5.33E-01
AMBN	7	DUSP22	5	1	1.46E-01	5.27E-01
AMBN	7	F2	4	1	1.18E-01	5.27E-01
AMBN	7	GAB4	12	2	4.61E-02	5.27E-01
AMBN	7	GABRG1	18	1	4.42E-01	6.14E-01
AMBN	7	HPR	2	1	6.06E-02	5.27E-01
AMBN	7	IQSEC3	9	1	2.49E-01	5.33E-01
AMBN	7	KCNQ2	11	1	2.96E-01	5.52E-01
AMBN	7	LRFN5	25	2	1.72E-01	5.33E-01
AMBN	7	LRP1B	87	3	1.00E+00	1.00E+00
AMBN	7	LRRC7	36	1	1.00E+00	1.00E+00
AMBN	7	MBLAC1	3	1	8.97E-02	5.27E-01
AMBN	7	MRGPRX4	8	1	2.24E-01	5.33E-01
AMBN	7	MS4A14	13	1	3.41E-01	5.63E-01
AMBN	7	NAV3	56	3	3.67E-01	5.78E-01
AMBN	7	NOS1	19	2	1.07E-01	5.27E-01
AMBN	7	NPY1R	10	1	2.73E-01	5.43E-01
AMBN	7	OR10K1	7	1	1.98E-01	5.33E-01
AMBN	7	OR2C3	13	1	3.41E-01	5.63E-01
AMBN	7	OR2G6	14	1	3.62E-01	5.76E-01
AMBN	7	OR51B5	9	1	2.49E-01	5.33E-01
AMBN	7	OR9Q2	8	1	2.24E-01	5.33E-01
AMBN	7	PGRMC1	5	1	1.46E-01	5.27E-01
AMBN	7	POU3F3	8	1	2.24E-01	5.33E-01
AMBN	7	PROL1	7	1	1.98E-01	5.33E-01
AMBN	7	PRR23C	6	1	1.72E-01	5.33E-01
AMBN	7	RB1	135	4	1.00E+00	1.00E+00
AMBN	7	REG1B	13	1	3.41E-01	5.63E-01
AMBN	7	SGCZ	13	1	3.41E-01	5.63E-01
AMBN	7	SLC8A3	20	1	4.79E-01	6.37E-01
AMBN	7	SPHKAP	39	2	3.43E-01	5.65E-01
AMBN	7	SRMS	5	1	1.46E-01	5.27E-01
AMBN	7	THAP1	4	1	1.18E-01	5.27E-01
AMBN	7	TKTL2	21	2	1.28E-01	5.27E-01
AMBN	7	TMEM132D	50	1	1.00E+00	1.00E+00
AMBN	7	TNNI2	3	1	8.97E-02	5.27E-01
AMBN	7	TP53	197	6	1.00E+00	1.00E+00
AMBN	7	ZCCHC16	8	1	2.24E-01	5.33E-01
ANKRD30B	28	ARHGAP36	12	1	1.00E+00	1.00E+00
ANKRD30B	28	ASB5	12	1	1.00E+00	1.00E+00
ANKRD30B	28	ATP1B4	7	1	1.00E+00	1.00E+00
ANKRD30B	28	ATP6V0A4	12	1	1.00E+00	1.00E+00
ANKRD30B	28	B2M	6	1	5.49E-01	6.79E-01
ANKRD30B	28	BEX1	5	2	1.15E-01	5.27E-01
ANKRD30B	28	BHMT	7	2	2.07E-01	5.33E-01
ANKRD30B	28	C16orf54	5	1	4.84E-01	6.38E-01
ANKRD30B	28	C6orf103	31	7	7.57E-02	5.27E-01
ANKRD30B	28	CA2	8	1	1.00E+00	1.00E+00
ANKRD30B	28	CATSPER1	7	1	1.00E+00	1.00E+00
ANKRD30B	28	CCDC109B	2	1	2.31E-01	5.33E-01
ANKRD30B	28	CD1C	12	3	1.71E-01	5.33E-01
ANKRD30B	28	CDH7	13	2	6.65E-01	7.78E-01
ANKRD30B	28	CETN1	6	1	5.49E-01	6.79E-01
ANKRD30B	28	CFHR2	9	1	1.00E+00	1.00E+00
ANKRD30B	28	CMKLR1	7	1	1.00E+00	1.00E+00
ANKRD30B	28	CNTNAP5	34	5	5.80E-01	7.05E-01
ANKRD30B	28	CPXCR1	12	1	1.00E+00	1.00E+00
ANKRD30B	28	CRHBP	6	2	1.60E-01	5.27E-01
ANKRD30B	28	CYP4F22	8	3	6.11E-02	5.27E-01
ANKRD30B	28	DCAF8L2	13	5	1.25E-02	5.27E-01
ANKRD30B	28	DEFB110	3	1	3.26E-01	5.63E-01
ANKRD30B	28	DEFB112	6	1	5.49E-01	6.79E-01
ANKRD30B	28	DFNB59	3	1	3.26E-01	5.63E-01
ANKRD30B	28	DIO2	8	1	1.00E+00	1.00E+00
ANKRD30B	28	ECHDC2	5	1	4.84E-01	6.38E-01
ANKRD30B	28	ETNK2	4	1	4.10E-01	5.93E-01
ANKRD30B	28	F2	4	1	4.10E-01	5.93E-01
ANKRD30B	28	FAM47C	19	4	2.65E-01	5.43E-01
ANKRD30B	28	FAM83C	11	2	6.30E-01	7.46E-01
ANKRD30B	28	FCRL4	11	4	3.29E-02	5.27E-01
ANKRD30B	28	FGF23	7	1	1.00E+00	1.00E+00
ANKRD30B	28	GAB4	12	2	6.46E-01	7.61E-01
ANKRD30B	28	GABRB1	12	3	1.71E-01	5.33E-01
ANKRD30B	28	GABRG1	18	1	7.06E-01	8.11E-01
ANKRD30B	28	GCG	8	2	2.56E-01	5.33E-01
ANKRD30B	28	GIPC2	3	1	3.26E-01	5.63E-01
ANKRD30B	28	GLB1L2	8	1	1.00E+00	1.00E+00
ANKRD30B	28	GPR139	9	2	3.05E-01	5.52E-01
ANKRD30B	28	HHEX	4	1	4.10E-01	5.93E-01
ANKRD30B	28	IGFBP2	10	2	3.53E-01	5.71E-01
ANKRD30B	28	IQSEC3	9	1	1.00E+00	1.00E+00
ANKRD30B	28	JPH2	10	1	1.00E+00	1.00E+00
ANKRD30B	28	KCNJ12	10	4	2.29E-02	5.27E-01
ANKRD30B	28	KCNN2	13	3	2.04E-01	5.33E-01
ANKRD30B	28	KCNQ2	11	1	1.00E+00	1.00E+00
ANKRD30B	28	KIAA1211	28	3	1.00E+00	1.00E+00
ANKRD30B	28	KLHL34	9	1	1.00E+00	1.00E+00
ANKRD30B	28	KLRG1	7	1	1.00E+00	1.00E+00
ANKRD30B	28	KRTAP13-1	5	2	1.15E-01	5.27E-01
ANKRD30B	28	KRTAP2-2	5	2	1.15E-01	5.27E-01
ANKRD30B	28	LCE5A	4	1	4.10E-01	5.93E-01
ANKRD30B	28	LELP1	4	1	4.10E-01	5.93E-01
ANKRD30B	28	LILRB2	14	4	7.65E-02	5.27E-01
ANKRD30B	28	LPPR4	16	4	1.16E-01	5.27E-01
ANKRD30B	28	LRFN5	25	6	9.69E-02	5.27E-01
ANKRD30B	28	LRP1B	87	15	9.59E-02	5.27E-01
ANKRD30B	28	LRRC7	36	1	9.17E-02	5.27E-01
ANKRD30B	28	MEOX1	4	2	7.48E-02	5.27E-01
ANKRD30B	28	MIA2	11	2	6.30E-01	7.46E-01
ANKRD30B	28	MMP24	6	2	1.60E-01	5.27E-01
ANKRD30B	28	MNDA	11	3	1.39E-01	5.27E-01
ANKRD30B	28	MORC1	24	3	1.00E+00	1.00E+00
ANKRD30B	28	MRGPRX4	8	1	1.00E+00	1.00E+00
ANKRD30B	28	MYBPC1	13	1	1.00E+00	1.00E+00
ANKRD30B	28	NAV3	56	8	6.41E-01	7.56E-01
ANKRD30B	28	NLRP14	19	3	7.12E-01	8.16E-01
ANKRD30B	28	NOS1	19	3	7.12E-01	8.16E-01
ANKRD30B	28	NPY1R	10	3	1.10E-01	5.27E-01
ANKRD30B	28	NR1I3	4	2	7.48E-02	5.27E-01
ANKRD30B	28	OR10J1	12	2	6.46E-01	7.61E-01
ANKRD30B	28	OR10K1	7	1	1.00E+00	1.00E+00
ANKRD30B	28	OR10V1	5	1	4.84E-01	6.38E-01
ANKRD30B	28	OR11G2	7	2	2.07E-01	5.33E-01
ANKRD30B	28	OR2A14	6	1	5.49E-01	6.79E-01
ANKRD30B	28	OR2C3	13	2	6.65E-01	7.78E-01
ANKRD30B	28	OR2G6	14	3	3.89E-01	5.86E-01
ANKRD30B	28	OR2J2	4	1	4.10E-01	5.93E-01
ANKRD30B	28	OR2T2	8	1	1.00E+00	1.00E+00
ANKRD30B	28	OR4K17	12	2	6.46E-01	7.61E-01
ANKRD30B	28	OR4N4	8	1	1.00E+00	1.00E+00
ANKRD30B	28	OR51B5	9	1	1.00E+00	1.00E+00
ANKRD30B	28	OR52E4	8	1	1.00E+00	1.00E+00
ANKRD30B	28	OR5J2	10	3	1.10E-01	5.27E-01
ANKRD30B	28	OR5M11	7	1	1.00E+00	1.00E+00
ANKRD30B	28	OR5M9	11	1	1.00E+00	1.00E+00
ANKRD30B	28	OR6B1	7	2	2.07E-01	5.33E-01
ANKRD30B	28	OR8B4	12	1	1.00E+00	1.00E+00
ANKRD30B	28	OR8H2	8	2	2.56E-01	5.33E-01
ANKRD30B	28	P2RX6	5	2	1.15E-01	5.27E-01
ANKRD30B	28	PEG3	21	6	2.91E-02	5.27E-01
ANKRD30B	28	PLSCR2	4	1	4.10E-01	5.93E-01
ANKRD30B	28	POU3F3	8	1	1.00E+00	1.00E+00
ANKRD30B	28	PRDM12	5	1	4.84E-01	6.38E-01
ANKRD30B	28	PROL1	7	2	2.07E-01	5.33E-01
ANKRD30B	28	PTEN	13	1	1.00E+00	1.00E+00
ANKRD30B	28	PTF1A	9	1	1.00E+00	1.00E+00
ANKRD30B	28	PYY	2	1	2.31E-01	5.33E-01
ANKRD30B	28	RB1	135	22	3.85E-02	5.27E-01
ANKRD30B	28	REG1B	13	4	5.97E-02	5.27E-01
ANKRD30B	28	RGS13	5	1	4.84E-01	6.38E-01
ANKRD30B	28	RHAG	12	2	6.46E-01	7.61E-01
ANKRD30B	28	RPL37	2	1	2.31E-01	5.33E-01
ANKRD30B	28	SAMD1	15	5	2.44E-02	5.27E-01
ANKRD30B	28	SELP	15	2	1.00E+00	1.00E+00
ANKRD30B	28	SGCZ	13	3	2.04E-01	5.33E-01
ANKRD30B	28	SH2D1A	4	1	4.10E-01	5.93E-01
ANKRD30B	28	SIGLEC12	8	1	1.00E+00	1.00E+00
ANKRD30B	28	SLC8A3	20	3	7.20E-01	8.24E-01
ANKRD30B	28	SLC9A4	11	4	3.29E-02	5.27E-01
ANKRD30B	28	SPHKAP	39	5	1.00E+00	1.00E+00
ANKRD30B	28	SRMS	5	1	4.84E-01	6.38E-01
ANKRD30B	28	ST6GALNAC3	10	2	3.53E-01	5.71E-01
ANKRD30B	28	STX11	4	1	4.10E-01	5.93E-01
ANKRD30B	28	TBCA	1	1	1.23E-01	5.27E-01
ANKRD30B	28	TCF21	4	1	4.10E-01	5.93E-01
ANKRD30B	28	TCF23	4	2	7.48E-02	5.27E-01
ANKRD30B	28	TGM3	10	1	1.00E+00	1.00E+00
ANKRD30B	28	TKTL2	21	3	7.29E-01	8.33E-01
ANKRD30B	28	TMEM132D	50	8	3.41E-01	5.63E-01
ANKRD30B	28	TMEM215	4	1	4.10E-01	5.93E-01
ANKRD30B	28	TMPRSS15	16	6	6.75E-03	4.96E-01
ANKRD30B	28	TP53	197	26	3.87E-01	5.85E-01
ANKRD30B	28	TRIM63	8	1	1.00E+00	1.00E+00
ANKRD30B	28	TUBA3C	16	1	7.00E-01	8.07E-01
ANKRD30B	28	UBE2NL	8	1	1.00E+00	1.00E+00
ANKRD30B	28	UNC93A	8	3	6.11E-02	5.27E-01
ANKRD30B	28	ZCCHC16	8	3	6.11E-02	5.27E-01
ANKRD30B	28	ZCCHC5	11	4	3.29E-02	5.27E-01
ANKRD30B	28	ZFP36L2	7	2	2.07E-01	5.33E-01
ANKRD30B	28	ZNF521	21	3	7.29E-01	8.33E-01
ANKRD30B	28	ZNF676	15	2	1.00E+00	1.00E+00
ANKRD30B	28	ZSCAN10	8	3	6.11E-02	5.27E-01
APOBEC1	5	ASB5	12	1	2.39E-01	5.33E-01
APOBEC1	5	ATP1B4	7	1	1.46E-01	5.27E-01
APOBEC1	5	BEX1	5	1	1.06E-01	5.27E-01
APOBEC1	5	C15orf43	2	1	4.35E-02	5.27E-01
APOBEC1	5	C16orf54	5	1	1.06E-01	5.27E-01
APOBEC1	5	C6orf103	31	1	5.22E-01	6.62E-01
APOBEC1	5	CA2	8	1	1.65E-01	5.27E-01
APOBEC1	5	CDH7	13	1	2.56E-01	5.33E-01
APOBEC1	5	CLIC5	8	1	1.65E-01	5.27E-01
APOBEC1	5	CMKLR1	7	1	1.46E-01	5.27E-01
APOBEC1	5	CNTNAP5	34	2	1.62E-01	5.27E-01
APOBEC1	5	F2	4	1	8.54E-02	5.27E-01
APOBEC1	5	FAM69C	7	2	7.76E-03	4.96E-01
APOBEC1	5	FAM83C	11	1	2.21E-01	5.33E-01
APOBEC1	5	FCRL5	17	1	3.24E-01	5.63E-01
APOBEC1	5	FGF23	7	1	1.46E-01	5.27E-01
APOBEC1	5	GAB4	12	1	2.39E-01	5.33E-01
APOBEC1	5	GLB1L2	8	1	1.65E-01	5.27E-01
APOBEC1	5	IGFBP2	10	1	2.03E-01	5.33E-01
APOBEC1	5	KCNQ2	11	1	2.21E-01	5.33E-01
APOBEC1	5	KIAA1211	28	2	1.15E-01	5.27E-01
APOBEC1	5	KLHL34	9	1	1.84E-01	5.33E-01
APOBEC1	5	KLRG1	7	1	1.46E-01	5.27E-01
APOBEC1	5	LRP1B	87	2	1.00E+00	1.00E+00
APOBEC1	5	LRRC7	36	1	5.80E-01	7.05E-01
APOBEC1	5	MORC1	24	1	4.30E-01	6.05E-01
APOBEC1	5	MRGPRX4	8	2	1.03E-02	5.16E-01
APOBEC1	5	MS4A14	13	1	2.56E-01	5.33E-01
APOBEC1	5	MYBPC1	13	1	2.56E-01	5.33E-01
APOBEC1	5	NAV3	56	3	9.66E-02	5.27E-01
APOBEC1	5	NLRP14	19	2	5.67E-02	5.27E-01
APOBEC1	5	NPY1R	10	1	2.03E-01	5.33E-01
APOBEC1	5	OR10V1	5	1	1.06E-01	5.27E-01
APOBEC1	5	OR2C3	13	1	2.56E-01	5.33E-01
APOBEC1	5	OR2G6	14	1	2.74E-01	5.43E-01
APOBEC1	5	OR51B5	9	1	1.84E-01	5.33E-01
APOBEC1	5	OR52E4	8	1	1.65E-01	5.27E-01
APOBEC1	5	OR6B1	7	1	1.46E-01	5.27E-01
APOBEC1	5	PGRMC1	5	1	1.06E-01	5.27E-01
APOBEC1	5	PRR23C	6	1	1.26E-01	5.27E-01
APOBEC1	5	RB1	135	3	1.00E+00	1.00E+00
APOBEC1	5	REG1B	13	2	2.73E-02	5.27E-01
APOBEC1	5	RNGTT	5	1	1.06E-01	5.27E-01
APOBEC1	5	SAMD1	15	1	2.91E-01	5.52E-01
APOBEC1	5	SIGLEC12	8	1	1.65E-01	5.27E-01
APOBEC1	5	SNCB	5	1	1.06E-01	5.27E-01
APOBEC1	5	SPHKAP	39	1	1.00E+00	1.00E+00
APOBEC1	5	ST6GALNAC3	10	1	2.03E-01	5.33E-01
APOBEC1	5	TCP10L2	7	2	7.76E-03	4.96E-01
APOBEC1	5	THAP1	4	1	8.54E-02	5.27E-01
APOBEC1	5	TKTL2	21	1	3.86E-01	5.84E-01
APOBEC1	5	TP53	197	5	1.00E+00	1.00E+00
APOBEC1	5	TUBA3C	16	1	3.07E-01	5.52E-01
APOBEC1	5	WNT11	6	1	1.26E-01	5.27E-01
APOBEC1	5	ZCCHC16	8	1	1.65E-01	5.27E-01
APOBEC1	5	ZNF521	21	2	6.83E-02	5.27E-01
APOBEC1	5	ZNF676	15	1	2.91E-01	5.52E-01
ARHGAP36	12	ATP6V0A4	12	1	4.86E-01	6.38E-01
ARHGAP36	12	B2M	6	2	3.39E-02	5.27E-01
ARHGAP36	12	C16orf54	5	1	2.39E-01	5.33E-01
ARHGAP36	12	C6orf103	31	2	6.70E-01	7.83E-01
ARHGAP36	12	CDH7	13	1	5.15E-01	6.54E-01
ARHGAP36	12	CLIC5	8	2	5.97E-02	5.27E-01
ARHGAP36	12	CMKLR1	7	1	3.19E-01	5.58E-01
ARHGAP36	12	CNTNAP5	34	2	6.95E-01	8.03E-01
ARHGAP36	12	CPXCR1	12	2	1.25E-01	5.27E-01
ARHGAP36	12	DCAF8L2	13	2	1.43E-01	5.27E-01
ARHGAP36	12	ECHDC2	5	1	2.39E-01	5.33E-01
ARHGAP36	12	ESX1	6	1	2.80E-01	5.43E-01
ARHGAP36	12	FAM83C	11	1	4.56E-01	6.18E-01
ARHGAP36	12	FCRL4	11	1	4.56E-01	6.18E-01
ARHGAP36	12	FCRL5	17	1	1.00E+00	1.00E+00
