gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
HIST1H4F	390169	544	57	149526	51120	0	5	0	0	50	48	8294220	7.715256e-03	1
OR2T2	112460	903	-20	473499	149526	0	10	1	0	50	96	13218993	7.922772e-03	1
HPR	426658	372	14	535695	144840	0	13	0	0	28	43	7882491	7.991403e-03	1
KRTAP2-2	NaN	NaN	NaN	180624	57084	0	5	0	0	50	146	23777616	8.197693e-03	1
PLSCR2	122649	611	-16	358053	88608	0	9	0	0	50	88	16727103	8.613547e-03	1
HSD17B6	2637730	154	47	481167	138663	0	8	1	0	50	50	16172451	8.766793e-03	1
RDM1	703538	424	31	483510	124818	0	9	1	0	50	61	13237098	8.801718e-03	1
IL27	1133167	269	63	360183	119067	0	9	1	0	17	23	4022505	8.805936e-03	1
OR52B4	363779	797	-8	469026	137385	0	9	1	0	50	59	13345728	8.830732e-03	1
CLIC5	62331	701	13	665625	176577	0	13	0	0	29	45	7970034	9.355736e-03	1
TMPRSS15	274061	981	-64	1609215	408747	0	21	1	0	6	4	1776846	9.604351e-03	1
MNDA	97345	985	2	632823	164649	0	15	1	0	50	86	11251299	1.011322e-02	1
OR51E2	207755	972	-1	467535	150378	0	13	1	0	50	113	12663702	1.021923e-02	1
CRHBP	245514	418	17	498207	136320	0	8	1	0	50	50	12209799	1.037242e-02	1
RPL37	212186	526	19	153573	43239	0	5	0	0	50	61	11586774	1.109325e-02	1
MID1IP1	91133	NaN	31	274344	78384	0	6	0	0	50	67	13492911	1.167275e-02	1
IL3	365169	484	35	238347	66456	0	6	0	0	50	58	10851711	1.169605e-02	1
ECHDC2	626387	311	30	395328	128652	0	8	0	0	50	57	12980007	1.172280e-02	1
OR4N4	156689	855	-31	466257	140793	0	13	2	0	50	109	12423225	1.234354e-02	1
CNTNAP5	1260	1308	-14	2022861	541446	0	33	7	0	40	94	12263049	1.258975e-02	1
FOXS1	1015946	241	37	475629	160176	0	8	1	0	50	50	10280019	1.274222e-02	1
NCBP2	754196	306	29	247719	62196	0	4	0	0	50	43	14283141	1.288513e-02	1
CSMD3	9197	1295	-29	5784867	1543185	0	119	24	0	35	123	10347114	1.376244e-02	1
RD3	384781	399	5	293301	89460	0	7	0	0	50	60	12851781	1.423539e-02	1
LCE1C	64902	818	18	179985	50694	0	6	0	0	50	91	12369762	1.442621e-02	1
OR7E24	398878	582	-50	503532	148248	0	9	1	0	50	103	18610875	1.506382e-02	1
DIO2	47674	533	-44	465405	137811	0	9	0	0	41	49	11045967	1.510360e-02	1
BSPH1	NaN	NaN	NaN	221946	47073	0	5	0	0	50	146	23767605	1.530609e-02	1
PTPRH	1036194	199	2	1695267	493947	0	17	1	0	24	12	4710495	1.560462e-02	1
OR5M9	NaN	NaN	NaN	459441	135468	0	9	1	0	50	147	23856000	1.569245e-02	1
PRDM12	505506	211	24	551031	165927	0	8	1	0	45	38	10294503	1.643892e-02	1
FGF23	295315	860	33	375519	112677	0	8	0	0	50	57	10252968	1.727621e-02	1
CETN1	483873	521	28	264972	67947	0	6	0	0	50	53	12176784	1.739833e-02	1
SRMS	1262904	298	54	731655	226206	0	10	1	0	50	47	11253003	1.756126e-02	1
NTSR1	1286411	208	27	612801	198090	0	8	1	0	50	47	14060982	1.788649e-02	1
ST6GALNAC3	259709	989	-11	480102	124392	0	8	1	0	12	12	3323865	1.807801e-02	1
GATA2	937778	274	52	710355	224502	0	12	1	0	40	49	9538140	1.837777e-02	1
ZSCAN10	1626425	234	44	1069047	334197	0	15	2	0	47	53	11984232	1.838687e-02	1
UBE2NL	5046	NaN	-19	230892	65604	0	8	1	0	50	149	12715674	1.905595e-02	1
TBCA	251029	581	40	178068	38553	0	4	0	0	50	37	10610382	1.959057e-02	1
DEFB110	70183	1258	-7	184458	35358	0	6	0	0	50	85	11655573	1.999669e-02	1
NPY1R	74427	1197	-18	583620	156981	0	14	1	0	17	33	4160103	2.016557e-02	1
GAL3ST3	3581017	208	47	619404	211296	0	9	1	0	37	34	8263974	2.020177e-02	1
TMEM225	89099	736	-8	352089	88821	0	9	1	0	18	33	4417620	2.027430e-02	1
OR52E4	262387	914	-13	460293	138450	0	10	1	0	50	71	10442325	2.029826e-02	1
FAM69C	162468	969	7	624090	189996	0	11	3	0	14	16	3475734	2.043826e-02	1
SELL	293592	597	13	617913	142497	0	10	0	0	50	55	11176110	2.068826e-02	1
H1FOO	779764	210	59	514608	163371	0	10	1	0	50	43	11437461	2.112497e-02	1
IFNA10	193208	498	-3	286059	79449	0	6	0	0	50	65	10977381	2.144220e-02	1
ARHGAP15	57425	639	11	759345	186375	0	12	1	0	47	69	12640911	2.181937e-02	1
ZCCHC16	65327	NaN	3	464340	131847	0	8	1	0	50	103	18113094	2.184622e-02	1
APOBEC1	237142	672	14	373389	92442	0	7	0	0	50	67	13570869	2.212761e-02	1
OR2A25	222080	812	-11	454968	140580	0	10	1	0	15	19	3413964	2.220239e-02	1
KRTAP21-3	NaN	NaN	NaN	95211	20448	0	3	0	0	50	146	23740980	2.226350e-02	1
IFNA6	232155	466	-14	286059	76893	0	6	1	0	42	37	8058003	2.234768e-02	1
SPATA16	222219	577	-15	896091	222159	0	13	1	0	50	58	11736726	2.247972e-02	1
MYBPC1	348152	448	6	1887393	476907	0	19	3	0	50	34	10046358	2.279724e-02	1
CFHR2	217857	853	-24	423018	107991	0	11	0	0	26	38	4964604	2.287111e-02	1
OR5M1	NaN	NaN	NaN	466470	139302	0	9	1	0	50	147	23859834	2.348066e-02	1
OR5B3	475497	835	-29	467535	135042	0	10	2	0	50	64	9764985	2.397453e-02	1
OR5A2	417582	672	-4	479463	142284	0	9	1	0	50	70	11862822	2.453263e-02	1
GABRB1	106512	689	24	731442	199581	0	12	1	0	50	185	27333012	2.463275e-02	1
WFDC9	736165	438	18	146970	33228	0	4	0	0	50	71	12339303	2.470194e-02	1
FAIM2	1291800	231	45	491391	144414	0	8	0	0	50	80	15984372	2.495130e-02	1
A1CF	113129	613	19	976392	274770	0	15	3	0	50	77	12037695	2.495566e-02	1
TCF23	1214097	238	50	314601	105222	0	6	0	0	50	62	13607505	2.514880e-02	1
CHRNA6	594393	454	34	756363	206610	0	9	2	0	21	14	5031912	2.531389e-02	1
FOXD4L1	528113	595	15	581277	202776	0	8	1	0	50	63	11849403	2.542600e-02	1
TMEM134	1392213	215	53	304377	87969	0	5	0	0	50	37	9247182	2.550987e-02	1
FCRL4	232460	820	28	790656	226632	0	15	4	0	24	36	5589759	2.566660e-02	1
NAV3	23591	1077	-25	3602469	1026447	0	63	13	0	8	47	5011464	2.601037e-02	1
TAS2R31	365490	676	-2	462423	134403	0	9	0	0	37	45	8300610	2.605453e-02	1
ZNF474	69953	707	2	543150	156555	0	10	1	0	50	74	11157153	2.622508e-02	1
OR10G9	107524	830	-5	452199	144627	0	10	1	0	50	99	11760369	2.645230e-02	1
DACH2	49531	NaN	-32	925698	259647	0	16	1	0	11	12	2358975	2.734167e-02	1
ACSM5	181483	823	6	887784	257304	0	11	2	0	50	44	10984623	2.737109e-02	1
GRIN2A	109137	922	-9	2240973	598104	0	27	5	0	13	27	4916679	2.744106e-02	1
TAF1L	567793	334	5	2748765	754872	0	34	9	0	29	49	8455461	2.757979e-02	1
PVRIG	1465817	204	59	472647	164436	0	6	1	0	50	37	11210403	2.759700e-02	1
IL10	464449	357	29	283503	71142	0	6	1	0	50	69	11586774	2.788090e-02	1
TMEM155	326547	440	18	200646	58149	0	4	0	0	50	66	15270609	2.820855e-02	1
OR11G2	371813	563	-29	506301	155703	0	10	1	0	50	81	12148455	2.835210e-02	1
WNT11	265144	359	38	532074	158685	0	7	2	0	34	28	6821325	2.837168e-02	1
PEG3	NaN	NaN	NaN	2243103	569136	0	31	5	0	39	129	18950610	2.837520e-02	1
BHMT	164477	578	36	629415	168696	0	8	1	0	50	40	11823630	2.838963e-02	1
GDF3	237142	672	14	545067	159750	0	9	1	0	50	67	13570869	2.890187e-02	1
GIPC2	412519	265	-6	480954	137598	0	8	0	0	50	66	13662672	2.921520e-02	1
CA2	100997	1460	-18	408108	107565	0	8	0	0	17	26	4822746	2.946696e-02	1
LCE5A	325831	700	20	179559	51120	0	4	0	0	50	89	16666824	2.951865e-02	1
TEDDM1	349818	783	5	406191	119067	0	6	0	0	38	42	11239797	2.981347e-02	1
SELP	294306	478	6	1297170	337392	0	15	2	0	50	67	13171920	2.995594e-02	1
ARHGAP36	65931	NaN	13	828783	247293	0	10	1	0	50	67	13679925	3.016868e-02	1
MBLAC1	1299015	205	52	371685	142710	0	7	2	0	12	6	2563668	3.027260e-02	1
FRG2C	NaN	NaN	NaN	430260	121197	0	8	1	0	39	125	18502671	3.027323e-02	1
PRR23C	NaN	NaN	NaN	373815	130356	0	7	1	0	50	147	23850888	3.095655e-02	1
CCDC109B	211934	479	26	526536	137385	0	8	0	0	50	41	10212711	3.113587e-02	1
MYBPC2	1038277	491	30	1777059	482445	0	21	0	0	2	0	741666	3.135906e-02	1
OR10K1	177013	929	7	453051	147609	0	7	1	0	50	62	12193611	3.168373e-02	1
TUBA3C	193250	922	-15	677553	199794	0	14	3	0	27	37	4722210	3.204369e-02	1
CLEC4C	206421	467	15	344421	78597	0	7	1	0	50	79	12658164	3.215546e-02	1
CMKLR1	437015	597	27	560616	161454	0	8	1	0	50	77	14742156	3.247669e-02	1
CDH9	39282	1140	-26	1223046	319500	0	28	2	0	15	40	3554118	3.279643e-02	1
OR2A2	221024	812	-11	467109	143136	0	9	1	0	15	19	3413964	3.319804e-02	1
C7	211302	644	5	1320387	341013	0	16	4	0	21	18	4283004	3.389381e-02	1
OR4N2	275024	858	-57	451347	138450	0	10	2	0	45	83	9708114	3.409990e-02	1
C1D	210519	537	2	228336	54102	0	4	0	0	50	52	12964671	3.410815e-02	1
CLEC4D	321790	564	13	346764	80088	0	5	0	0	50	53	12985758	3.420389e-02	1
OCM2	451365	522	25	177429	41109	0	3	0	0	50	47	14184096	3.444301e-02	1
C2orf76	193588	467	26	207462	50055	0	4	0	0	50	44	10479387	3.452480e-02	1
MAGEA4	125659	NaN	-21	467961	144201	0	8	1	0	18	26	4663848	3.453869e-02	1
CORIN	113961	622	44	1650324	404061	0	20	2	0	15	11	3240582	3.462908e-02	1
OR2L8	27938	1015	-28	461784	138237	0	12	2	0	50	165	14874642	3.481510e-02	1
THAP1	594393	454	34	343782	71568	0	5	0	0	50	61	15234825	3.487018e-02	1
ZFP36L2	227876	208	47	706734	244737	0	9	0	0	48	36	9826116	3.511621e-02	1
GPR142	362227	433	-8	673719	221520	0	10	2	0	50	84	15194994	3.516849e-02	1
COL20A1	1278630	332	62	1901238	614505	0	24	5	0	22	19	4229115	3.569798e-02	1
POU3F3	165707	869	-17	717597	242181	0	11	2	0	34	61	11317116	3.590261e-02	1
CPXCR1	1148	NaN	-19	460293	121197	0	13	2	0	50	162	13264575	3.594549e-02	1
SMR3B	264684	915	25	117150	41322	0	3	0	0	50	60	10429545	3.603558e-02	1
LCE1A	62450	804	15	165501	46647	0	6	1	0	19	38	4150305	3.617963e-02	1
SLC8A3	527365	409	28	1454151	413646	0	16	1	0	17	20	5467710	3.659423e-02	1
C6orf118	31222	466	-31	725478	197238	0	16	3	0	23	37	4089174	3.659958e-02	1
TNNI2	916434	481	33	304164	74124	0	6	0	0	50	56	12740169	3.664726e-02	1
COL4A3	253951	211	10	2570058	810891	0	21	4	0	50	38	11321163	3.666141e-02	1
OR5M11	NaN	NaN	NaN	449643	136320	0	7	1	0	50	147	23856852	3.693465e-02	1
OR52K1	190769	879	-1	460293	146118	0	9	1	0	19	20	3845715	3.694621e-02	1
RHAG	66931	1248	-6	633462	176790	0	13	3	0	25	34	4313037	3.696774e-02	1
C19orf45	609287	308	36	765096	226632	0	10	0	0	32	41	10759695	3.705995e-02	1
DYNLRB2	149480	465	-30	155490	39405	0	4	0	0	50	86	13656069	3.762029e-02	1
SHARPIN	2720766	211	27	572331	194469	0	9	1	0	31	29	8091657	3.772619e-02	1
ATP1B4	484939	NaN	23	566580	138876	0	7	0	0	50	35	9808863	3.819145e-02	1
FGFBP2	175145	435	33	333771	98193	0	7	0	0	50	88	14623089	3.821233e-02	1
GPR35	837485	485	35	440484	153786	0	8	0	0	39	55	10009509	3.827804e-02	1
CNGB3	191008	1171	2	1265433	332067	0	19	3	0	50	67	9955833	3.900471e-02	1
OR51S1	66543	987	-3	463062	157407	0	10	1	0	50	100	10515810	4.004455e-02	1
SH2D1B	363646	391	1	209805	52824	0	4	0	0	50	59	11720751	4.017958e-02	1
TCF21	102722	388	-4	271788	78384	0	6	1	0	40	74	11089206	4.020215e-02	1
CSN3	201562	928	3	276474	84561	0	7	1	0	50	117	12629835	4.029127e-02	1
FAM132A	2356409	196	27	447513	153786	0	6	0	0	50	86	16003968	4.080870e-02	1
PSG5	307971	178	-25	508857	148035	0	8	1	0	50	77	12762321	4.086913e-02	1
CLEC1A	396940	445	-1	441975	110760	0	6	0	0	50	48	11792745	4.124957e-02	1
IFNG	268405	717	-2	266676	61131	0	4	0	0	15	10	4588872	4.138864e-02	1
NR1I3	731911	229	39	612801	168696	0	7	0	0	24	21	8091870	4.151793e-02	1
HHEX	359162	317	17	407256	121197	0	5	0	0	50	59	14756427	4.159593e-02	1
FOXJ3	541904	579	23	974262	250701	0	12	1	0	50	55	11383572	4.195710e-02	1
CACNG6	806175	338	-40	376797	131208	0	6	1	0	50	65	11428515	4.204517e-02	1
HIST1H4L	228884	634	40	149526	51759	0	3	0	0	50	36	8857605	4.213658e-02	1
JAG2	872033	260	25	1906350	532713	0	24	3	0	50	61	12211716	4.252428e-02	1
CYP4F22	772367	543	20	815577	234300	0	10	2	0	50	66	14646093	4.259053e-02	1
F13A1	44522	696	22	1135716	305229	0	18	4	0	24	40	5817243	4.289616e-02	1
FHL5	116593	1376	3	459015	100110	0	7	0	0	50	76	13421556	4.294858e-02	1
CD1E	135429	902	5	604068	154425	0	12	0	0	20	27	4133478	4.324390e-02	1
OR10J1	347588	699	-5	472647	145266	0	9	2	0	30	33	5449179	4.336401e-02	1
GOT1L1	660779	379	37	582981	156342	0	7	1	0	34	43	11382081	4.339146e-02	1
DUSP26	91655	610	11	314814	99258	0	6	0	0	50	79	12954447	4.362993e-02	1
NLRP14	418263	881	-4	1692285	433029	0	26	2	0	14	24	3634206	4.413203e-02	1
OR10K2	135429	902	5	454968	143775	0	12	4	0	10	14	1750434	4.413873e-02	1
SH2D1A	216982	NaN	-14	200007	54954	0	5	1	0	12	8	1796229	4.460318e-02	1
ARID3C	731413	298	51	607689	198729	0	8	0	0	35	38	7910607	4.487342e-02	1
HLA-G	514408	685	38	516099	149100	0	7	0	0	30	33	6574671	4.507304e-02	1
SNCB	579630	359	40	214278	57297	0	5	0	0	50	77	12896298	4.540824e-02	1
OR8A1	171574	746	-1	481380	144840	0	6	1	0	50	79	15680634	4.554851e-02	1
SLC6A19	657890	541	24	965316	281373	0	11	1	0	20	29	7340832	4.598580e-02	1
IQSEC3	241073	592	27	1785792	565728	0	18	5	0	50	61	13561284	4.602093e-02	1
LHB	2070141	200	35	210657	69225	0	5	1	0	12	12	2495508	4.627580e-02	1
BCL3	812266	188	-22	660939	233022	0	8	1	0	49	67	12419178	4.629385e-02	1
ZNF676	58109	1305	-63	919734	214491	0	18	2	0	50	148	13870986	4.645731e-02	1
RAC2	845055	230	67	299265	86052	0	5	0	0	50	45	10190985	4.692581e-02	1
PYY	920082	241	29	146757	47499	0	3	0	0	50	45	10448715	4.721589e-02	1
OR5B17	475497	835	-29	464127	138450	0	7	0	0	25	23	5162694	4.756969e-02	1
ITK	266925	1180	30	981078	251553	0	12	0	0	23	24	5046396	4.761445e-02	1
RPS27	2028800	222	34	140367	32802	0	3	0	0	50	54	10938828	4.768363e-02	1
CRIPAK	1018381	507	41	643260	213639	0	8	1	0	50	71	14631822	4.800690e-02	1
C6orf103	NaN	NaN	NaN	2619261	669033	0	25	4	0	47	141	23006343	4.823387e-02	1
ZNRD1	1820240	496	30	201498	52185	0	4	0	0	50	66	11302845	4.832362e-02	1
BCLAF1	286851	153	21	1415811	377862	0	17	2	0	50	82	15453576	4.837268e-02	1
NEUROG1	496830	608	34	338031	118215	0	5	0	0	50	66	14041812	4.870852e-02	1
OR6F1	191710	995	-32	448791	143562	0	12	3	0	5	29	2908941	4.881419e-02	1
HLA-C	3244502	401	38	558273	164436	0	6	0	0	50	28	9389892	4.902124e-02	1
OR4K2	431654	854	-49	468174	135681	0	8	2	0	50	80	10834245	4.994534e-02	1
